seller_id,name,domain,seller_type
341,siciliareporter.com,siciliareporter.com,PUBLISHER
342,VolantinoLidl.it,volantinolidl.it,PUBLISHER
343,The Cooking Hacks IT,it.thecookinghacks.com,PUBLISHER
344,isoladiminorca.com,isoladiminorca.com,PUBLISHER
346,controcampus.it,controcampus.it,PUBLISHER
349,voglioviverecosi.com,voglioviverecosi.com,PUBLISHER
352,chimicamo_home,chimicamo.org,PUBLISHER
354,FifaUltimateTeam IT,fifaultimateteam.it,PUBLISHER
355,NextGenHD,nextgenhd.com,PUBLISHER
356,fifaultimateteam UK,fifaultimateteam.it,PUBLISHER
357,social-magazine.it,social-magazine.it,PUBLISHER
358,Donnaedonna,donnaedonna.net,PUBLISHER
359,Provinispettacolo,provinispettacolo.it,PUBLISHER
361,eplfantasy.co.uk,eplfantasy.co.uk,PUBLISHER
362,Sportelo,sportelo.com.ng,PUBLISHER
363,Unique update,uniqueupdate.org,PUBLISHER
364,Netnaija Files,netnaijafiles.xyz,PUBLISHER
365,Eplsport,eplsport.com,PUBLISHER
366,SPORTARENA ,sportarena.com.ng,PUBLISHER
367,ManUtdFC Blog,manutdfcblog.com,PUBLISHER
368,Sportupdatehub,sportupdatehub.xyz,PUBLISHER
369,Hituploaded ,hituploaded.com.ng,PUBLISHER
370,Southportfunfair,southportfunfair.co.uk,PUBLISHER
371,The People of Nigeria,thepeopleofnigeria.com,PUBLISHER
372,Racconti dal Vicinato,raccontidalvicinato.it,PUBLISHER
375,Jobseekersng,jobseekersng.com,PUBLISHER
376,Sbircio,sbircio.org,PUBLISHER
378,Naij.ng,naij.ng,PUBLISHER
379,NetNaija,netnaija.xyz,PUBLISHER
380,9jaPing,9japing.com,PUBLISHER
381,Epl Fans,eplfans.co.uk,PUBLISHER
382,FootballBests,footballbests.com,PUBLISHER
383,Respect Soccer,respectsoccer.com,PUBLISHER
384,NetSport,netsport.co.uk,PUBLISHER
385,Racingfixtures.co.uk,racingfixtures.co.uk,PUBLISHER
386,Sportpontino,sportpontino.com,PUBLISHER
388,Jibglobe,jibglobe.com,PUBLISHER
389,NaijaForbe,naijaforbe.com,PUBLISHER
394,NgoWab,ngowab.com,PUBLISHER
397,Deroundtable,deroundtable.com,PUBLISHER
398,360mp3,360mp3.com.ng,PUBLISHER
399,nowsportng,nowsportng.com,PUBLISHER
400,Nigeriapenng.com,nigeriapenng.com,PUBLISHER
401,Naijabulletin,naijabulletin.com,PUBLISHER
402,Eduwab,eduwab.com,PUBLISHER
403,Tastyfootball,tastyfootball.com,PUBLISHER
405,Shoreloop,shoreloop.com,PUBLISHER
407,zaxid.net,zaxid.net,PUBLISHER
408,knowledgebase,knowledgebase.com.ng,PUBLISHER
409,charming African,charmingafrican.com,PUBLISHER
411,PlayTalk,playtalk.it,PUBLISHER
412,Bazenation,bazenation.com,PUBLISHER
413,Ziptras,ziptras.com,PUBLISHER
